entidad_id,fecha,muestreo,peso_fresco,peso_seco,porcentaje_humedad,zona_id,zona,variedad_id,variedad,tratamiento_entrada_id,tratamiento_entrada,tratamiento_salida_id,tratamiento_salida,ue,_merge
86,2024-06-26,M4,0.2763,0.1330999999999999,48.17227651103872,0,melipilla,1,santina,0,control,13,,27,both
87,2024-06-26,M4,0.2653,0.1289999999999999,48.62419901997738,0,melipilla,1,santina,2,zn+eth,13,,28,both
88,2024-06-26,M4,0.3477,0.2103,60.48317515099223,0,melipilla,1,santina,1,fsh,13,,29,both
89,2024-06-26,M4,0.2176999999999999,0.1035,47.54248966467617,0,melipilla,1,santina,5,aba,13,,30,both
90,2024-04-23,M1,0.3953,0.21,53.124209461168725,1,viluco,1,santina,2,zn+eth,15,dormex 2% + break,1,both
91,2024-04-23,M1,0.234,0.1185,50.64102564102564,1,viluco,1,santina,1,fsh,16,"dormex 1,5% + 2% ac. mineral",2,both
92,2024-04-23,M1,0.3427,0.1802,52.582433615407055,1,viluco,1,santina,0,control,12,erger 5% + nca 4%,3,both
93,2024-04-23,M1,0.2128,0.1146999999999999,53.90037593984961,1,viluco,1,santina,3,zn+u+eth,6,control,4,both
94,2024-04-23,M1,0.5457000000000001,0.2853,52.281473336998346,1,viluco,1,santina,4,ethephon,12,erger 5% + nca 4%,5,both
95,2024-04-23,M1,0.2998999999999999,0.1528,50.95031677225742,1,viluco,1,santina,5,aba,15,dormex 2% + break,6,both
96,2024-04-23,M1,0.3742,0.1935999999999999,51.73703901656868,1,viluco,1,santina,3,zn+u+eth,16,"dormex 1,5% + 2% ac. mineral",7,both
97,2024-04-23,M1,0.349,0.1802,51.63323782234958,1,viluco,1,santina,0,control,6,control,8,both
98,2024-04-23,M1,0.3158,0.1631,51.64661177960735,1,viluco,1,santina,1,fsh,16,"dormex 1,5% + 2% ac. mineral",9,both
99,2024-04-23,M1,0.3225999999999999,0.1643,50.92994420334781,1,viluco,1,santina,5,aba,6,control,10,both
100,2024-04-23,M1,0.2166,0.1161,53.60110803324101,1,viluco,1,santina,2,zn+eth,12,erger 5% + nca 4%,11,both
101,2024-04-23,M1,0.1484,0.0766999999999999,51.68463611859836,1,viluco,1,santina,4,ethephon,15,dormex 2% + break,12,both
102,2024-04-23,M1,0.345,0.1778999999999999,51.56521739130434,1,viluco,1,santina,3,zn+u+eth,16,"dormex 1,5% + 2% ac. mineral",13,both
103,2024-04-23,M1,0.3303,0.1688,51.10505600968816,1,viluco,1,santina,5,aba,12,erger 5% + nca 4%,14,both
104,2024-04-23,M1,0.1614,0.0778,48.20322180916976,1,viluco,1,santina,1,fsh,15,dormex 2% + break,15,both
105,2024-04-23,M1,0.2356,0.1187,50.38200339558574,1,viluco,1,santina,0,control,6,control,16,both
106,2024-04-23,M1,0.2241,0.1073,47.88041053101294,1,viluco,1,santina,4,ethephon,6,control,17,both
107,2024-04-23,M1,0.2674,0.1371,51.2715033657442,1,viluco,1,santina,2,zn+eth,16,"dormex 1,5% + 2% ac. mineral",18,both
108,2024-04-23,M1,0.372,0.1909,51.31720430107527,1,viluco,1,santina,4,ethephon,12,erger 5% + nca 4%,19,both
109,2024-04-23,M1,0.0963,0.0494999999999999,51.4018691588785,1,viluco,1,santina,1,fsh,15,dormex 2% + break,20,both
110,2024-04-23,M1,0.2313999999999999,0.1206,52.11754537597236,1,viluco,1,santina,3,zn+u+eth,13,,21,both
111,2024-04-23,M1,0.4276999999999999,0.2084,48.72574234276362,1,viluco,1,santina,2,zn+eth,13,,22,both
112,2024-04-23,M1,0.1586,0.0854999999999999,53.90920554854981,1,viluco,1,santina,0,control,13,,23,both
113,2024-04-23,M1,0.2091,0.1071,51.21951219512197,1,viluco,1,santina,5,aba,13,,24,both
114,2024-04-23,M1,0.1891,0.0969999999999999,51.29561078794288,1,viluco,1,santina,3,zn+u+eth,13,,25,both
115,2024-04-23,M1,0.2266,0.1157,51.05913503971757,1,viluco,1,santina,4,ethephon,13,,26,both
116,2024-04-23,M1,0.151,0.0777,51.45695364238412,1,viluco,1,santina,0,control,13,,27,both
117,2024-04-23,M1,0.3904000000000001,0.2057,52.68954918032786,1,viluco,1,santina,2,zn+eth,13,,28,both
118,2024-04-23,M1,0.3774,0.187,49.549549549549546,1,viluco,1,santina,1,fsh,13,,29,both
119,2024-04-23,M1,0.4863999999999999,0.2388,49.09539473684212,1,viluco,1,santina,5,aba,13,,30,both
90,2024-05-24,M2,0.6061000000000001,0.29,47.84688995215311,1,viluco,1,santina,2,zn+eth,15,dormex 2% + break,1,both
91,2024-05-24,M2,0.5748,0.2726,47.42519137091164,1,viluco,1,santina,1,fsh,16,"dormex 1,5% + 2% ac. mineral",2,both
92,2024-05-24,M2,0.267,0.1331,49.85018726591758,1,viluco,1,santina,0,control,12,erger 5% + nca 4%,3,both
93,2024-05-24,M2,0.3381,0.1703,50.36971310263235,1,viluco,1,santina,3,zn+u+eth,6,control,4,both
94,2024-05-24,M2,0.3661,0.1788999999999999,48.86642993717562,1,viluco,1,santina,4,ethephon,12,erger 5% + nca 4%,5,both
95,2024-05-24,M2,0.6297999999999999,0.3089999999999999,49.06319466497301,1,viluco,1,santina,5,aba,15,dormex 2% + break,6,both
