duracion_latencia_dias,absorbancia,concentracion_almidon_mg_por_g,peso_yema_mg,peso_fresco,peso_seco,porcentaje_humedad,zona_id,variedad_id,tratamiento_entrada_id,tratamiento_salida_id,chill_25_uta,chill_50_uta,chill_75_uta,chill_100_uta,chill_25_simple,chill_50_simple,chill_75_simple,chill_100_simple
120.0,,,,0.2654999999999999,0.1294999999999999,48.7758945386064,3,1,1,15,378.0,808.0,1318.0,1636.0,256.0,672.0,1094.0,1308.0
124.0,,,,0.4570999999999999,0.2254,49.31087289433384,3,1,0,6,378.0,808.0,1318.0,1636.0,256.0,672.0,1094.0,1308.0
122.0,,,,0.5298,0.2512999999999999,47.43299358248394,3,1,4,6,378.0,808.0,1318.0,1636.0,256.0,672.0,1094.0,1308.0
126.0,,,,0.5685,0.2750999999999999,48.390501319261205,3,1,2,16,378.0,808.0,1318.0,1636.0,256.0,672.0,1094.0,1308.0
119.0,1.0481,22.511073157871166,200.4,0.687,0.323,47.016011644832616,3,1,4,12,378.0,808.0,1318.0,1636.0,256.0,672.0,1094.0,1308.0
119.0,0.8052,16.92884762800187,200.1,0.663,0.3138999999999999,47.34539969834087,3,1,1,15,378.0,808.0,1318.0,1636.0,256.0,672.0,1094.0,1308.0
113.0,,,,0.3012,0.1434,47.60956175298805,0,1,2,7,372.5,795.0,1132.0,1303.5,250.0,603.0,906.0,1095.0
116.0,,,,0.4414,0.2182,49.43362029904848,0,1,1,8,372.5,795.0,1132.0,1303.5,250.0,603.0,906.0,1095.0
114.0,,,,0.3592,0.1771,49.30400890868597,0,1,0,11,372.5,795.0,1132.0,1303.5,250.0,603.0,906.0,1095.0
131.0,,,,0.1771999999999999,0.0913999999999999,51.58013544018059,0,1,3,6,372.5,795.0,1132.0,1303.5,250.0,603.0,906.0,1095.0
112.0,,,,0.2505,0.1551999999999999,61.95608782435127,0,1,4,11,372.5,795.0,1132.0,1303.5,250.0,603.0,906.0,1095.0
108.0,,,,0.499,0.2413,48.3567134268537,0,1,5,7,372.5,795.0,1132.0,1303.5,250.0,603.0,906.0,1095.0
112.0,1.2495,27.10647117751525,200.8,0.3907,0.1941999999999999,49.70565651394932,0,1,3,8,372.5,795.0,1132.0,1303.5,250.0,603.0,906.0,1095.0
111.0,0.5673,11.399989252690691,200.6,0.3246,0.1545,47.59704251386322,0,1,0,6,372.5,795.0,1132.0,1303.5,250.0,603.0,906.0,1095.0
115.0,1.1314,24.470762536844,200.1,0.1819999999999999,0.0901999999999999,49.56043956043956,0,1,1,8,372.5,795.0,1132.0,1303.5,250.0,603.0,906.0,1095.0
123.0,1.3412,29.27755407528685,200.4,0.539,0.2616,48.53432282003711,0,1,5,6,372.5,795.0,1132.0,1303.5,250.0,603.0,906.0,1095.0
114.0,1.1926,25.85989163374993,200.3,0.4724,0.2294,48.560541913632505,0,1,2,11,372.5,795.0,1132.0,1303.5,250.0,603.0,906.0,1095.0
107.0,1.2267,26.59440512451158,200.7,0.1911,0.0945,49.450549450549445,0,1,4,7,372.5,795.0,1132.0,1303.5,250.0,603.0,906.0,1095.0
111.0,,,,0.4197999999999999,0.2052999999999999,48.90424011434017,0,1,3,8,372.5,795.0,1132.0,1303.5,250.0,603.0,906.0,1095.0
120.0,,,,0.5654,0.2805999999999999,49.628581535196325,0,1,5,11,372.5,795.0,1132.0,1303.5,250.0,603.0,906.0,1095.0
122.0,,,,0.4692999999999999,0.2244,47.81589601534201,0,1,1,7,372.5,795.0,1132.0,1303.5,250.0,603.0,906.0,1095.0
116.0,,,,0.2723,0.1309,48.07197943444731,0,1,0,6,372.5,795.0,1132.0,1303.5,250.0,603.0,906.0,1095.0
111.0,,,,0.3201,0.1581999999999999,49.4220556076226,0,1,2,8,372.5,795.0,1132.0,1303.5,250.0,603.0,906.0,1095.0
108.0,1.2803,27.84383375434649,200.6,0.1679999999999999,0.0831,49.46428571428572,0,1,4,11,372.5,795.0,1132.0,1303.5,250.0,603.0,906.0,1095.0
111.0,0.9453,20.168033031830134,200.1,0.4812999999999999,0.2368,49.2000831082485,0,1,1,7,372.5,795.0,1132.0,1303.5,250.0,603.0,906.0,1095.0
114.0,,,,0.3953,0.21,53.124209461168725,1,1,2,15,382.0,800.5,1158.0,1356.0,306.0,679.0,954.0,1184.0
112.0,,,,0.234,0.1185,50.64102564102564,1,1,1,16,382.0,800.5,1158.0,1356.0,306.0,679.0,954.0,1184.0
108.0,,,,0.3427,0.1802,52.582433615407055,1,1,0,12,382.0,800.5,1158.0,1356.0,306.0,679.0,954.0,1184.0
116.0,,,,0.2128,0.1146999999999999,53.90037593984961,1,1,3,6,382.0,800.5,1158.0,1356.0,306.0,679.0,954.0,1184.0
110.0,,,,0.5457000000000001,0.2853,52.281473336998346,1,1,4,12,382.0,800.5,1158.0,1356.0,306.0,679.0,954.0,1184.0
116.0,,,,0.2998999999999999,0.1528,50.95031677225742,1,1,5,15,382.0,800.5,1158.0,1356.0,306.0,679.0,954.0,1184.0
115.0,1.1569,24.94812543804227,201.0,0.3742,0.1935999999999999,51.73703901656868,1,1,3,16,382.0,800.5,1158.0,1356.0,306.0,679.0,954.0,1184.0
