"",zona,variedad,tratamiento_entrada,ue,tratamiento_salida,fecha_entrada_latencia,fecha_salida_latencia,entidad_id,duracion_latencia_dias,absorbancia,concentracion_almidon_mg_por_g,peso_yema_mg,muestreo,peso_fresco,peso_seco,porcentaje_humedad,zona_id,variedad_id,tratamiento_entrada_id,tratamiento_salida_id
34,teno prado,santina,fsh,15,dormex 2% + break,2024-05-07,2024-09-04,44,120.0,,,,M1,0.2654999999999999,0.1294999999999999,48.7758945386064,3,1,1,15
35,teno prado,santina,control,16,control,2024-05-10,2024-09-11,45,124.0,,,,M1,0.4570999999999999,0.2254,49.31087289433384,3,1,0,6
36,teno prado,santina,ethephon,17,control,2024-05-10,2024-09-09,46,122.0,,,,M1,0.5298,0.2512999999999999,47.43299358248394,3,1,4,6
37,teno prado,santina,zn+eth,18,"dormex 1,5% + 2% ac. mineral",2024-05-01,2024-09-04,47,126.0,,,,M1,0.5685,0.2750999999999999,48.390501319261205,3,1,2,16
38,teno prado,santina,ethephon,19,erger 5% + nca 4%,2024-05-08,2024-09-04,48,119.0,1.0481,22.511073157871166,200.4,M1,0.687,0.323,47.016011644832616,3,1,4,12
39,teno prado,santina,fsh,20,dormex 2% + break,2024-05-08,2024-09-04,49,119.0,0.8052,16.92884762800187,200.1,M1,0.663,0.3138999999999999,47.34539969834087,3,1,1,15
40,melipilla,santina,zn+eth,1,dormex 3% + break,2024-05-12,2024-09-02,60,113.0,,,,M1,0.3012,0.1434,47.60956175298805,0,1,2,7
41,melipilla,santina,fsh,2,dormex 2% + 2% ac. mineral,2024-05-14,2024-09-07,61,116.0,,,,M1,0.4414,0.2182,49.43362029904848,0,1,1,8
42,melipilla,santina,control,3,erger 5% + nca 6%,2024-05-11,2024-09-02,62,114.0,,,,M1,0.3592,0.1771,49.30400890868597,0,1,0,11
43,melipilla,santina,zn+u+eth,4,control,2024-05-10,2024-09-18,63,131.0,,,,M1,0.1771999999999999,0.0913999999999999,51.58013544018059,0,1,3,6
44,melipilla,santina,ethephon,5,erger 5% + nca 6%,2024-05-17,2024-09-06,64,112.0,,,,M1,0.2505,0.1551999999999999,61.95608782435127,0,1,4,11
45,melipilla,santina,aba,6,dormex 3% + break,2024-05-17,2024-09-02,65,108.0,,,,M1,0.499,0.2413,48.3567134268537,0,1,5,7
46,melipilla,santina,zn+u+eth,7,dormex 2% + 2% ac. mineral,2024-05-13,2024-09-02,66,112.0,1.2495,27.10647117751525,200.8,M1,0.3907,0.1941999999999999,49.70565651394932,0,1,3,8
47,melipilla,santina,control,8,control,2024-05-21,2024-09-09,67,111.0,0.5673,11.399989252690691,200.6,M1,0.3246,0.1545,47.59704251386322,0,1,0,6
48,melipilla,santina,fsh,9,dormex 2% + 2% ac. mineral,2024-05-13,2024-09-05,68,115.0,1.1314,24.470762536844,200.1,M1,0.1819999999999999,0.0901999999999999,49.56043956043956,0,1,1,8
49,melipilla,santina,aba,10,control,2024-05-13,2024-09-13,69,123.0,1.3412,29.27755407528685,200.4,M1,0.539,0.2616,48.53432282003711,0,1,5,6
50,melipilla,santina,zn+eth,11,erger 5% + nca 6%,2024-05-11,2024-09-02,70,114.0,1.1926,25.85989163374993,200.3,M1,0.4724,0.2294,48.560541913632505,0,1,2,11
51,melipilla,santina,ethephon,12,dormex 3% + break,2024-05-18,2024-09-02,71,107.0,1.2267,26.59440512451158,200.7,M1,0.1911,0.0945,49.450549450549445,0,1,4,7
52,melipilla,santina,zn+u+eth,13,dormex 2% + 2% ac. mineral,2024-05-14,2024-09-02,72,111.0,,,,M1,0.4197999999999999,0.2052999999999999,48.90424011434017,0,1,3,8
53,melipilla,santina,aba,14,erger 5% + nca 6%,2024-05-12,2024-09-09,73,120.0,,,,M1,0.5654,0.2805999999999999,49.628581535196325,0,1,5,11
54,melipilla,santina,fsh,15,dormex 3% + break,2024-05-10,2024-09-09,74,122.0,,,,M1,0.4692999999999999,0.2244,47.81589601534201,0,1,1,7
55,melipilla,santina,control,16,control,2024-05-21,2024-09-14,75,116.0,,,,M1,0.2723,0.1309,48.07197943444731,0,1,0,6
57,melipilla,santina,zn+eth,18,dormex 2% + 2% ac. mineral,2024-05-14,2024-09-02,77,111.0,,,,M1,0.3201,0.1581999999999999,49.4220556076226,0,1,2,8
58,melipilla,santina,ethephon,19,erger 5% + nca 6%,2024-05-20,2024-09-05,78,108.0,1.2803,27.84383375434649,200.6,M1,0.1679999999999999,0.0831,49.46428571428572,0,1,4,11
59,melipilla,santina,fsh,20,dormex 3% + break,2024-05-14,2024-09-02,79,111.0,0.9453,20.168033031830134,200.1,M1,0.4812999999999999,0.2368,49.2000831082485,0,1,1,7
60,viluco,santina,zn+eth,1,dormex 2% + break,2024-05-11,2024-09-02,90,114.0,,,,M1,0.3953,0.21,53.124209461168725,1,1,2,15
61,viluco,santina,fsh,2,"dormex 1,5% + 2% ac. mineral",2024-05-13,2024-09-02,91,112.0,,,,M1,0.234,0.1185,50.64102564102564,1,1,1,16
62,viluco,santina,control,3,erger 5% + nca 4%,2024-05-17,2024-09-02,92,108.0,,,,M1,0.3427,0.1802,52.582433615407055,1,1,0,12
63,viluco,santina,zn+u+eth,4,control,2024-05-09,2024-09-02,93,116.0,,,,M1,0.2128,0.1146999999999999,53.90037593984961,1,1,3,6
64,viluco,santina,ethephon,5,erger 5% + nca 4%,2024-05-15,2024-09-02,94,110.0,,,,M1,0.5457000000000001,0.2853,52.281473336998346,1,1,4,12
65,viluco,santina,aba,6,dormex 2% + break,2024-05-09,2024-09-02,95,116.0,,,,M1,0.2998999999999999,0.1528,50.95031677225742,1,1,5,15
66,viluco,santina,zn+u+eth,7,"dormex 1,5% + 2% ac. mineral",2024-05-10,2024-09-02,96,115.0,1.1569,24.94812543804227,201.0,M1,0.3742,0.1935999999999999,51.73703901656868,1,1,3,16
67,viluco,santina,control,8,control,2024-05-12,2024-09-05,97,116.0,1.0193,21.86802325594831,200.2,M1,0.349,0.1802,51.63323782234958,1,1,0,6
68,viluco,santina,fsh,9,"dormex 1,5% + 2% ac. mineral",2024-05-11,2024-09-02,98,114.0,1.1254,24.139023711361137,201.7,M1,0.3158,0.1631,51.64661177960735,1,1,1,16
69,viluco,santina,aba,10,control,2024-05-15,2024-09-06,99,114.0,0.9524,20.33218875179574,200.1,M1,0.3225999999999999,0.1643,50.92994420334781,1,1,5,6
70,viluco,santina,zn+eth,11,erger 5% + nca 4%,2024-05-09,2024-09-02,100,116.0,0.9986,21.3257541197689,200.8,M1,0.2166,0.1161,53.60110803324101,1,1,2,12
71,viluco,santina,ethephon,12,dormex 2% + break,2024-05-17,2024-09-02,101,108.0,0.6701,13.784598279730153,200.4,M1,0.1484,0.0766999999999999,51.68463611859836,1,1,4,15
72,viluco,santina,zn+u+eth,13,"dormex 1,5% + 2% ac. mineral",2024-05-05,2024-09-02,102,120.0,,,,M1,0.345,0.1778999999999999,51.56521739130434,1,1,3,16
73,viluco,santina,aba,14,erger 5% + nca 4%,2024-05-11,2024-09-02,103,114.0,,,,M1,0.3303,0.1688,51.10505600968816,1,1,5,12
74,viluco,santina,fsh,15,dormex 2% + break,2024-05-15,2024-09-02,104,110.0,,,,M1,0.1614,0.0778,48.20322180916976,1,1,1,15
75,viluco,santina,control,16,control,2024-05-17,2024-09-07,105,113.0,,,,M1,0.2356,0.1187,50.38200339558574,1,1,0,6
76,viluco,santina,ethephon,17,control,2024-05-09,2024-09-02,106,116.0,,,,M1,0.2241,0.1073,47.88041053101294,1,1,4,6
77,viluco,santina,zn+eth,18,"dormex 1,5% + 2% ac. mineral",2024-05-05,2024-09-02,107,120.0,,,,M1,0.2674,0.1371,51.2715033657442,1,1,2,16
78,viluco,santina,ethephon,19,erger 5% + nca 4%,2024-05-09,2024-09-02,108,116.0,1.0771,23.226925746009712,200.0,M1,0.372,0.1909,51.31720430107527,1,1,4,12
79,viluco,santina,fsh,20,dormex 2% + break,2024-05-20,2024-09-02,109,105.0,1.0854,23.41892204487624,200.0,M1,0.0963,0.0494999999999999,51.4018691588785,1,1,1,15
80,santa ana,kordia,zn+eth,1,dormex 2% + break,2024-05-12,2024-09-16,120,127.0,,,,M1,1.1205999999999998,0.5059,45.14545779046939,4,2,2,15
81,santa ana,kordia,fsh,2,"dormex 1,5% + 2% ac. mineral",2024-05-14,2024-09-16,121,125.0,,,,M1,0.9307,0.4096,44.00988503277103,4,2,1,16
82,santa ana,kordia,control,3,erger 5% + nca 4%,2024-05-13,2024-09-09,122,119.0,,,,M1,0.7973000000000001,0.3743,46.94594255612693,4,2,0,12
83,santa ana,kordia,zn+u+eth,4,control,2024-05-11,2024-09-19,123,131.0,,,,M1,0.8056999999999999,0.363,45.0539903189773,4,2,3,6
84,santa ana,kordia,ethephon,5,erger 5% + nca 4%,2024-05-12,2024-09-06,124,117.0,,,,M1,0.7103999999999999,0.3176,44.70720720720722,4,2,4,12
85,santa ana,kordia,aba,6,dormex 2% + break,2024-05-12,2024-09-15,125,126.0,,,,M1,0.6173000000000001,0.2804,45.42361898590636,4,2,5,15
86,santa ana,kordia,zn+u+eth,7,"dormex 1,5% + 2% ac. mineral",2024-05-12,2024-09-18,126,129.0,,,,M1,0.7657,0.3402,44.42993339427975,4,2,3,16
87,santa ana,kordia,control,8,control,2024-05-14,2024-09-19,127,128.0,,,,M1,0.5606,0.2575999999999999,45.95076703531929,4,2,0,6
88,santa ana,kordia,fsh,9,"dormex 1,5% + 2% ac. mineral",2024-05-12,2024-09-10,128,121.0,,,,M1,0.7591,0.3396,44.73718877618232,4,2,1,16
89,santa ana,kordia,aba,10,control,2024-05-09,2024-09-22,129,136.0,,,,M1,0.8748,0.3974999999999999,45.43895747599451,4,2,5,6
90,santa ana,kordia,zn+eth,11,erger 5% + nca 4%,2024-05-07,2024-09-15,130,131.0,,,,M1,0.7988999999999999,0.3519,44.04806609087496,4,2,2,12
91,santa ana,kordia,ethephon,12,dormex 2% + break,2024-05-07,2024-09-16,131,132.0,,,,M1,0.5887,0.2574999999999999,43.74044504841175,4,2,4,15
92,santa ana,kordia,zn+u+eth,13,"dormex 1,5% + 2% ac. mineral",2024-05-05,2024-09-11,132,129.0,,,,M1,0.4503,0.2075,46.08039085054408,4,2,3,16
93,santa ana,kordia,aba,14,erger 5% + nca 4%,2024-05-09,2024-09-06,133,120.0,,,,M1,0.5823,0.2684,46.093079168813325,4,2,5,12
94,santa ana,kordia,fsh,15,dormex 2% + break,2024-06-02,2024-09-12,134,102.0,,,,M1,0.6441,0.3016999999999999,46.84055270920664,4,2,1,15
95,santa ana,kordia,control,16,control,2024-05-19,2024-09-19,135,123.0,,,,M1,0.4023,0.1791999999999999,44.54387273179219,4,2,0,6
96,santa ana,kordia,ethephon,17,control,2024-05-25,2024-09-19,136,117.0,,,,M1,0.428,0.1944,45.42056074766355,4,2,4,6
97,santa ana,kordia,zn+eth,18,"dormex 1,5% + 2% ac. mineral",2024-05-14,2024-09-06,137,115.0,,,,M1,0.4852000000000001,0.2179,44.90931574608409,4,2,2,16
98,santa ana,kordia,ethephon,19,erger 5% + nca 4%,2024-06-02,2024-09-14,138,104.0,,,,M1,0.4597,0.2117,46.05177289536655,4,2,4,12
99,santa ana,kordia,fsh,20,dormex 2% + break,2024-06-02,2024-09-06,139,96.0,,,,M1,0.3532999999999999,0.1668999999999999,47.24030568921596,4,2,1,15
100,teno don sergio,regina,zn+eth,1,dormex 2% + break,2024-05-11,2024-09-20,150,132.0,,,,M1,0.4992,0.235,47.07532051282052,5,0,2,15
101,teno don sergio,regina,fsh,2,"dormex 1,5% + 2% ac. mineral",2024-05-11,2024-09-19,151,131.0,,,,M1,0.246,0.1175999999999999,47.80487804878048,5,0,1,16
102,teno don sergio,regina,control,3,erger 5% + nca 4%,2024-05-18,2024-09-19,152,124.0,,,,M1,0.3782999999999999,0.1773,46.86756542426646,5,0,0,12
103,teno don sergio,regina,zn+u+eth,4,control,2024-05-13,2024-09-18,153,128.0,,,,M1,0.2308,0.1106999999999999,47.963604852686295,5,0,3,6
104,teno don sergio,regina,ethephon,5,erger 5% + nca 4%,2024-05-13,2024-09-20,154,130.0,,,,M1,0.5533,0.2563999999999999,46.340140972347726,5,0,4,12
105,teno don sergio,regina,aba,6,dormex 2% + break,2024-05-10,2024-09-18,155,131.0,,,,M1,0.2951,0.1402,47.50931887495764,5,0,5,15
106,teno don sergio,regina,zn+u+eth,7,"dormex 1,5% + 2% ac. mineral",2024-05-11,2024-09-17,156,129.0,0.9944,21.271359663278112,200.4,M1,0.4182999999999999,0.2320999999999999,55.48649294764523,5,0,3,16
107,teno don sergio,regina,control,8,control,2024-05-15,2024-09-19,157,127.0,0.9813,21.01087207957437,200.0,M1,0.5016,0.2347,46.79027113237639,5,0,0,6
108,teno don sergio,regina,fsh,9,"dormex 1,5% + 2% ac. mineral",2024-05-16,2024-09-19,158,126.0,0.833,17.527800590825258,200.6,M1,0.9247,0.4609,49.84319238672001,5,0,1,16
109,teno don sergio,regina,aba,10,control,2024-05-11,2024-09-26,159,138.0,0.9047,19.18141019919653,200.6,M1,0.4611999999999999,0.2298,49.82653946227234,5,0,5,6
110,teno don sergio,regina,zn+eth,11,erger 5% + nca 4%,2024-05-11,2024-09-19,160,131.0,1.1623,25.10989468850695,200.7,M1,0.3283,0.1588999999999999,48.4008528784648,5,0,2,12
111,teno don sergio,regina,ethephon,12,dormex 2% + break,2024-05-16,2024-09-19,161,126.0,0.995,21.25339475149491,200.7,M1,0.4914,0.2289999999999999,46.60154660154659,5,0,4,15
112,teno don sergio,regina,zn+u+eth,13,"dormex 1,5% + 2% ac. mineral",2024-05-14,2024-09-14,162,123.0,,,,M1,0.3979,0.1889,47.47423975873337,5,0,3,16
113,teno don sergio,regina,aba,14,erger 5% + nca 4%,2024-05-10,2024-09-14,163,127.0,,,,M1,0.5845,0.2620999999999999,44.841745081266026,5,0,5,12
114,teno don sergio,regina,fsh,15,dormex 2% + break,2024-05-14,2024-09-15,164,124.0,,,,M1,0.4221,0.2016,47.76119402985074,5,0,1,15
115,teno don sergio,regina,control,16,control,2024-05-13,2024-09-19,165,129.0,,,,M1,0.4146,0.1941,46.816208393632415,5,0,0,6
116,teno don sergio,regina,ethephon,17,control,2024-05-14,2024-09-19,166,128.0,,,,M1,0.4346,0.2064,47.49194661757939,5,0,4,6
117,teno don sergio,regina,zn+eth,18,"dormex 1,5% + 2% ac. mineral",2024-05-11,2024-09-19,167,131.0,,,,M1,0.6751,0.3127999999999999,46.333876462746254,5,0,2,16
118,teno don sergio,regina,ethephon,19,erger 5% + nca 4%,2024-05-13,2024-09-19,168,129.0,1.1628,25.15902730740231,200.4,M1,0.4749,0.2337,49.21036007580543,5,0,4,12
119,teno don sergio,regina,fsh,20,dormex 2% + break,2024-05-16,2024-09-18,169,125.0,1.0374,22.20864310924688,200.9,M1,0.6098,0.2763,45.30993768448672,5,0,1,15
120,wapri,regina,zn+eth,1,dormex 2% + break,2024-05-13,2024-09-07,180,117.0,,,,M1,0.6399,0.2996,46.8198155961869,7,0,2,15
121,wapri,regina,fsh,2,"dormex 1,5% + 2% ac. mineral",2024-05-10,2024-09-21,181,134.0,,,,M1,0.5719000000000001,0.2765000000000001,48.34761321909426,7,0,1,16
122,wapri,regina,control,3,erger 5% + nca 4%,2024-05-14,2024-09-13,182,122.0,,,,M1,0.3877,0.1837,47.38199638896055,7,0,0,12
123,wapri,regina,zn+u+eth,4,control,2024-05-08,2024-09-16,183,131.0,,,,M1,0.5924,0.2778,46.89399054692775,7,0,3,6
124,wapri,regina,ethephon,5,erger 5% + nca 4%,2024-05-08,2024-09-12,184,127.0,,,,M1,0.4269999999999999,0.1997,46.768149882903984,7,0,4,12
125,wapri,regina,aba,6,dormex 2% + break,2024-05-05,2024-09-11,185,129.0,,,,M1,0.5058999999999999,0.2431,48.05297489622456,7,0,5,15
126,wapri,regina,zn+u+eth,7,"dormex 1,5% + 2% ac. mineral",2024-05-10,2024-09-09,186,122.0,0.8419,17.706579932289426,200.9,M1,0.661,0.3133,47.39788199697429,7,0,3,16
127,wapri,regina,control,8,control,2024-05-13,2024-09-13,187,123.0,0.8938,18.93002463809128,200.6,M1,0.738,0.3445,46.68021680216801,7,0,0,6
128,wapri,regina,fsh,9,"dormex 1,5% + 2% ac. mineral",2024-05-08,2024-09-07,188,122.0,0.9676,20.652657211600395,200.4,M1,0.4666,0.2241,48.02828975567939,7,0,1,16
129,wapri,regina,aba,10,control,2024-05-06,2024-09-14,189,131.0,1.2023,26.0319508599384,200.7,M1,0.9856,0.4693,47.61566558441558,7,0,5,6
130,wapri,regina,zn+eth,11,erger 5% + nca 4%,2024-05-07,2024-09-12,190,128.0,0.5523,11.076131825611354,200.2,M1,0.6573,0.3072,46.736649931538096,7,0,2,12
131,wapri,regina,ethephon,12,dormex 2% + break,2024-05-14,2024-09-06,191,115.0,1.1455,24.784375929414097,200.2,M1,0.7345999999999999,0.3357,45.69833923223524,7,0,4,15
132,wapri,regina,zn+u+eth,13,"dormex 1,5% + 2% ac. mineral",2024-05-09,2024-09-11,192,125.0,,,,M1,0.5631,0.2686,47.70023086485528,7,0,3,16
133,wapri,regina,aba,14,erger 5% + nca 4%,2024-05-06,2024-09-12,193,129.0,,,,M1,0.5904,0.2789999999999999,47.2560975609756,7,0,5,12
134,wapri,regina,fsh,15,dormex 2% + break,2024-05-12,2024-09-11,194,122.0,,,,M1,0.5249999999999999,0.2481,47.25714285714287,7,0,1,15
135,wapri,regina,control,16,control,2024-05-11,2024-09-22,195,134.0,,,,M1,0.6117,0.2853,46.64051005394801,7,0,0,6
136,wapri,regina,ethephon,17,control,2024-05-09,2024-09-12,196,126.0,,,,M1,0.7350000000000001,0.3394999999999999,46.190476190476176,7,0,4,6
137,wapri,regina,zn+eth,18,"dormex 1,5% + 2% ac. mineral",2024-05-08,2024-09-12,197,127.0,,,,M1,0.622,0.2825,45.41800643086816,7,0,2,16
138,wapri,regina,ethephon,19,erger 5% + nca 4%,2024-05-13,2024-09-12,198,122.0,0.9929,21.27920425630349,200.0,M1,0.6207,0.2895999999999999,46.65700016110842,7,0,4,12
139,wapri,regina,fsh,20,dormex 2% + break,2024-05-13,2024-09-11,199,121.0,1.0613,22.85001380873292,200.1,M1,0.4096000000000001,0.1916,46.77734374999999,7,0,1,15
140,teno prado,regina,zn+eth,1,dormex 2% + break,2024-05-09,2024-09-11,210,125.0,,,,M1,0.4756999999999999,0.2301999999999999,48.39184359890688,3,0,2,15
141,teno prado,regina,fsh,2,"dormex 1,5% + 2% ac. mineral",2024-05-08,2024-09-11,211,126.0,,,,M1,0.536,0.2639999999999999,49.253731343283576,3,0,1,16
142,teno prado,regina,control,3,erger 5% + nca 4%,2024-05-15,2024-09-11,212,119.0,,,,M1,0.4195,0.2033999999999999,48.48629320619785,3,0,0,12
143,teno prado,regina,zn+u+eth,4,control,2024-05-11,2024-09-19,213,131.0,,,,M1,0.5403,0.2603,48.17693873773829,3,0,3,6
144,teno prado,regina,ethephon,5,erger 5% + nca 4%,2024-05-14,2024-09-09,214,118.0,,,,M1,0.6593,0.3087000000000001,46.82238738055514,3,0,4,12
145,teno prado,regina,aba,6,dormex 2% + break,2024-05-08,2024-09-08,215,123.0,,,,M1,0.4272,0.2145,50.21067415730337,3,0,5,15
146,teno prado,regina,zn+u+eth,7,"dormex 1,5% + 2% ac. mineral",2024-05-11,2024-09-10,216,122.0,,,,M1,0.4809,0.2364,49.15782907049283,3,0,3,16
147,teno prado,regina,control,8,control,2024-05-10,2024-09-16,217,129.0,,,,M1,0.5286,0.2613999999999999,49.45138100643208,3,0,0,6
148,teno prado,regina,fsh,9,"dormex 1,5% + 2% ac. mineral",2024-05-10,2024-09-11,218,124.0,,,,M1,0.8117,0.4006999999999999,49.36552913638043,3,0,1,16
149,teno prado,regina,aba,10,control,2024-05-08,2024-09-11,219,126.0,,,,M1,0.5666,0.275,48.53512177903284,3,0,5,6
