Key;Brotación en camara;Brotación en Campo;Dias acumulando calor;zona;variedad;ue_str;tratamiento
Wapri (Los Niches 1)-Regina-016-Control;17-08-2024;22-09-2024;35,71879655;wapri (los niches 1);regina;016;control
Wapri (Los Niches 1)-Regina-017-Control;16-08-2024;22-09-2024;36,7520248;wapri (los niches 1);regina;017;control
Sarmiento-Regina-004-Control;05-08-2024;16-09-2024;42,1575;sarmiento;regina;004;control
Sarmiento-Regina-008-Control;09-08-2024;16-09-2024;38,42588235;sarmiento;regina;008;control
Sarmiento-Regina-010-Control;08-08-2024;16-09-2024;39,43428571;sarmiento;regina;010;control
Sarmiento-Regina-016-Control;05-08-2024;16-09-2024;42,66736842;sarmiento;regina;016;control
Sarmiento-Regina-017-Control;08-08-2024;16-09-2024;38,86285714;sarmiento;regina;017;control
Sta Magdalena (Los Niches 2)-Regina-004-Control;19-08-2024;16-09-2024;27,60869565;sta magdalena (los niches 2);regina;004;control
Sta Magdalena (Los Niches 2)-Regina-008-Control;22-08-2024;16-09-2024;24,11111111;sta magdalena (los niches 2);regina;008;control
Sta Magdalena (Los Niches 2)-Regina-010-Control;23-08-2024;16-09-2024;23,35294118;sta magdalena (los niches 2);regina;010;control
Sta Magdalena (Los Niches 2)-Regina-016-Control;23-08-2024;16-09-2024;23,92682927;sta magdalena (los niches 2);regina;016;control
Sta Magdalena (Los Niches 2)-Regina-017-Control;20-08-2024;16-09-2024;26,44;sta magdalena (los niches 2);regina;017;control
Teno Montaña-Regina-004-Control;23-08-2024;21-09-2024;28,22222222;teno montaña;regina;004;control
Teno Montaña-Regina-008-Control;27-08-2024;21-09-2024;24,35294118;teno montaña;regina;008;control
Teno Montaña-Regina-010-Control;25-08-2024;21-09-2024;26,22222222;teno montaña;regina;010;control
Teno Montaña-Regina-016-Control;24-08-2024;21-09-2024;27,33333333;teno montaña;regina;016;control
Teno Montaña-Regina-017-Control;23-08-2024;21-09-2024;28,18181818;teno montaña;regina;017;control
