zona,variedad,modelo_heat,horas_calor_promedio,horas_calor_std,horas_calor_min,horas_calor_max,n_observaciones_heat,zona_variedad_heat,modelo_cold,horas_frio_promedio,horas_frio_std,horas_frio_min,horas_frio_max,n_observaciones_cold,zona_variedad_cold
sarmiento,kordia,hgc,5584.983333333334,269.9733838733,5127.023333333333,5832.423333333333,5,sarmiento | kordia,utah_cu,654.9,38.455168703309575,595.0,690.0,5.0,sarmiento | kordia
sarmiento,kordia,hgc,5584.983333333334,269.9733838733,5127.023333333333,5832.423333333333,5,sarmiento | kordia,utah_positivo,685.6,40.907517646515785,621.5,724.0,5.0,sarmiento | kordia
sarmiento,regina,heat_hours,71.0,0.0,71.0,71.0,5,sarmiento | regina,,,,,,,
sarmiento,regina,hgc,4634.624833333333,114.35565136887668,4526.4248333333335,4758.724833333334,5,sarmiento | regina,,,,,,,
teno prado,kordia,heat_hours,60.2,1.7888543819998322,59.0,63.0,5,teno prado | kordia,chill_hours,347.4,26.819768828235635,313.0,376.0,5.0,teno prado | kordia
teno prado,kordia,heat_hours,60.2,1.7888543819998322,59.0,63.0,5,teno prado | kordia,utah_cu,606.3,24.603353429969665,575.5,633.0,5.0,teno prado | kordia
teno prado,kordia,heat_hours,60.2,1.7888543819998322,59.0,63.0,5,teno prado | kordia,utah_positivo,618.6,25.29673892026401,587.0,646.0,5.0,teno prado | kordia
teno prado,kordia,hgc,4650.589,234.59475058065553,4286.169,4912.269,5,teno prado | kordia,chill_hours,347.4,26.819768828235635,313.0,376.0,5.0,teno prado | kordia
teno prado,kordia,hgc,4650.589,234.59475058065553,4286.169,4912.269,5,teno prado | kordia,utah_cu,606.3,24.603353429969665,575.5,633.0,5.0,teno prado | kordia
teno prado,kordia,hgc,4650.589,234.59475058065553,4286.169,4912.269,5,teno prado | kordia,utah_positivo,618.6,25.29673892026401,587.0,646.0,5.0,teno prado | kordia
teno prado,regina,heat_hours,56.6,3.2863353450309964,53.0,59.0,5,teno prado | regina,,,,,,,
teno prado,regina,hgc,3751.349,263.126342276861,3364.069,3958.8689999999992,5,teno prado | regina,,,,,,,
viluco,santina,heat_hours,136.0,17.97220075561143,125.0,168.0,5,viluco | santina,chill_hours,547.8,60.931929232546054,463.0,620.0,5.0,viluco | santina
viluco,santina,heat_hours,136.0,17.97220075561143,125.0,168.0,5,viluco | santina,utah_cu,714.7,46.72338814769322,659.5,769.0,5.0,viluco | santina
viluco,santina,heat_hours,136.0,17.97220075561143,125.0,168.0,5,viluco | santina,utah_positivo,814.9,49.18383880910478,757.0,873.0,5.0,viluco | santina
